Player,Position,Price
Nathan Collins,DF,€33.3M
Matty Cash,DF,€32.9M
Malo Gusto,DF,€32.8M
Jarrad Branthwaite,DF,€32.2M
Patrick Dorgu,DF,€31.5M
Daniel Muñoz,DF,€30.9M
Wesley Fofana,DF,€30.3M
Calvin Bassey,DF,€29.9M
Taylor Harwood-Bellis,DF,€29.9M
John Stones,"DF,MF",€29.7M
Benoît Badiashile,DF,€28.5M
Radu Drăgușin,DF,€28.4M
Leif Davis,DF,€28.2M
Conor Bradley,DF,€27.9M
Maxence Lacroix,DF,€27.7M
Axel Disasi,DF,€27.5M
Kevin Danso,DF,€27.2M
Keane Lewis-Potter,"DF,FW",€27.1M
Aaron Wan-Bissaka,DF,€26.9M
Sepp van den Berg,DF,€26.4M
Jarell Quansah,DF,€26.2M
Joe Gomez,DF,€25.3M
Jacob Greaves,DF,€25.1M
Igor,DF,€25M
Wout Faes,DF,€25M
Michael Kayode,DF,€25M
Jakub Kiwior,DF,€25M
Tyrick Mitchell,DF,€24.6M
Tosin Adarabioyo,DF,€24.3M
Virgil van Dijk,DF,€24.3M
Andrew Robertson,DF,€24M
Victor Bernth Kristiansen,DF,€23.9M
Kostas Tsimikas,DF,€23.6M
Neco Williams,DF,€23.4M
Kristoffer Ajer,DF,€21.5M
Marcos Senesi,DF,€20.4M
Ben Chilwell,DF,€20.4M
Trevoh Chalobah,DF,€20.1M
Morato,DF,€20M
Oleksandr Zinchenko,"DF,MF",€19.9M
Nathan Patterson,DF,€19.9M
Djed Spence,DF,€19.8M
Jake O'Brien,DF,€19.7M
Dara O'Shea,DF,€19.5M
Konstantinos Mavropanos,DF,€19.1M
Ola Aina,DF,€18.8M
Toti Gomes,DF,€18.6M
Emmanuel Agbadou,DF,€18M
Issa Diop,DF,€17.9M
Luke Shaw,DF,€17.5M
Timothy Castagne,DF,€17.4M
James Justin,DF,€17M
Caleb Okoli,DF,€16.7M
Kyle Walker-Peters,DF,€16.6M
Yukinari Sugawara,"DF,MF",€15.7M
Chris Richards,DF,€15.7M
Armel Bella Kotchap,DF,€15.4M
Julian Araujo,DF,€14.3M
Kenny Tete,DF,€14M
Harry Maguire,DF,€13.7M
Lucas Digne,DF,€13.6M
Tariq Lamptey,DF,€13.6M
Victor Lindelöf,DF,€13.5M
Jan Bednarek,DF,€12.9M
Ben Johnson,"DF,FW",€12.6M
Emerson Palmieri,DF,€12.6M
Yerson Mosquera,DF,€12.4M
Adam Webster,DF,€12.2M
James Tarkowski,DF,€11.8M
Santiago Bueno,DF,€11.2M
Álex Moreno,"DF,MF",€11M
Fabian Schär,DF,€11M
Ben Godfrey,DF,€10.5M
Andrés García,"DF,MF",€10.4M
